,order_id,user_id,estimated arrival,transaction_date
335,8bc4bcfd-bd13-4387-baac-d2e515824c53,USER14094,4days,2021-10-14
360,3d10724f-4636-48d4-95bc-cd7c867733e0,USER10097,10days,2021-11-05
405,77a61466-839d-4cb1-ad41-9f9a22d3a71a,USER17152,7days,2021-11-02
430,aa7ceeb4-901f-41d6-b284-cdfa89982873,USER22468,3days,2021-11-22
431,4b7119dc-8886-43bc-a861-637e0e270675,USER26207,10days,2021-12-03
432,9a6aac67-dd2b-4cc9-9fce-d878e7c29382,USER21730,7days,2021-12-21
439,990dfe77-901b-4f9b-b1e2-f3e68be7d9de,USER32370,8days,2021-10-15
475,22492f23-57dd-4000-95f2-deafde496c5c,USER59150,3days,2021-10-13
509,6d69cdd2-10ff-4c7f-9c4f-98227b6c7d53,USER07797,9days,2021-11-13
515,87959dab-d0eb-422d-944f-112a9ec995bb,USER65400,7days,2021-10-12
518,261363d8-a425-426b-afa0-0e7cf8a70ee7,USER05499,3days,2021-12-25
525,cbf510ac-d456-4fd9-8699-3612461d6fa1,USER23416,5days,2021-11-27
534,35d35529-5a6c-42a0-b18b-49359530ae43,USER54437,9days,2021-11-13
549,667fa5ae-dc86-407d-89b5-8a6b78475d4a,USER26444,4days,2021-12-31
590,1b9bb07d-de4b-40c9-a0b4-c749ce6ed6a3,USER47728,11days,2021-10-19
595,9e2592e0-e611-4649-968b-8fd08d1ddc20,USER11459,11days,2021-12-09
613,d70d3777-2fa3-46fa-9c54-ee4664a00447,USER21725,9days,2021-11-24
647,5bf1463f-9d1c-4e49-84ea-e3ddb920982b,USER46771,4days,2021-10-20
677,5e78c964-214e-407f-a3f8-0fd8ff9fd078,USER16139,5days,2021-10-30
707,da1cafc9-6924-472f-b67b-e698ae853db6,USER27241,14days,2021-10-15
715,cff3aa2e-3e2e-432b-9ad3-e2bfa648760d,USER10272,5days,2021-10-10
731,0b4f2557-ceec-4a09-b48c-28f8b818e9f0,USER45353,8days,2021-11-26
744,de723d07-580e-4483-8042-7a0ceb2a8f36,USER50073,13days,2021-10-08
764,e3bafa97-7ad9-4a89-86e0-6dce142f704d,USER58668,9days,2021-12-21
772,9d204c3a-3218-481b-812b-268520c7b788,USER15459,15days,2021-12-19
803,c45bfc57-c3cd-4172-b35f-6d865a812ee2,USER31546,4days,2021-11-05
818,a9044251-9b1b-4df0-88ed-403920819c58,USER21816,6days,2021-10-23
819,cff37328-d895-41a6-943f-42a6c76c5965,USER18240,11days,2021-11-23
865,54faffc3-7cb4-459c-80bc-7e000bfd26ef,USER31798,11days,2021-12-26
870,757ee806-fa28-4a99-8eb9-9849bfa24a07,USER46057,3days,2021-10-24
885,a41e94f0-46ff-4df6-b198-9247b3058bc7,USER64032,10days,2021-10-11
893,6da1b09f-4f75-4df9-bad8-2e4a6930d2e6,USER38843,14days,2021-12-23
905,48b619c8-91cd-41d1-b8c8-6a4b1cca98dc,USER44565,8days,2021-10-16
930,d8a47dd7-01a8-4b5a-8541-40d01f4ab0c4,USER18263,5days,2021-12-13
940,a0cd14a7-bfca-4157-9ac4-c3414ebbecda,USER47957,7days,2021-11-14
976,14c1a07b-76af-4a65-8587-8bf0998ab2ff,USER59487,3days,2021-10-11
1020,5a8f1602-44f5-4418-8773-70be60faf0f9,USER20048,10days,2021-12-20
1024,0f67baf0-cf5a-4b38-a921-1594a4759616,USER49416,7days,2021-10-17
1031,9de5bf5b-b074-4b9d-963c-824ccc65be8d,USER51864,10days,2021-11-06
1039,8ae2a192-a464-49a4-bc73-76f70530e0ea,USER50314,12days,2021-11-05
1052,1219edfd-2156-4f05-88cd-b929e1055af2,USER63551,6days,2021-10-18
1054,f406cb46-3a42-4d98-85d1-08d38dd2a49d,USER49287,12days,2021-12-23
1057,f917554a-667e-478a-a2a4-ed797494017e,USER04429,3days,2021-12-25
1058,0c485763-415d-49b1-a106-969d34624ada,USER15986,5days,2021-12-29
1074,47f631b7-c2cd-4438-be4f-cbbc45268e98,USER11784,8days,2021-10-07
1084,cc9af934-4bf7-4acd-8885-401786469ecf,USER60001,12days,2021-12-25
1123,957a8b8c-3996-4780-84cf-ebc92485d3cc,USER06593,13days,2021-11-16
1124,d31884b0-8d46-4e20-9f4f-9e3c3741813a,USER46247,6days,2021-11-27
1142,1524ddf4-3054-47fd-9bab-0d3e4f734000,USER06514,6days,2021-12-18
1147,799e561c-a07d-4ead-a63a-b3ec2ff6501c,USER18649,9days,2021-12-17
1151,3373e55e-ad71-4390-9c22-48dac14a58be,USER20226,4days,2021-12-20
1156,221bc929-c056-46a2-869f-6bf2ef3f9f67,USER12299,13days,2021-11-01
1160,94ad67fe-845e-4d3d-9600-6632812e289d,USER47488,14days,2021-11-19
1163,dc5e72d5-04d8-4557-a481-0d51f9946bba,USER56281,11days,2021-12-08
1171,f8e6b43d-5c0f-45ab-b5df-3a21d33b5f1b,USER55586,14days,2021-10-19
1196,6f79f7df-4646-470f-b7ae-6926da5d44c4,USER29967,9days,2021-12-19
1202,1ca1ae77-2874-4a95-a3f7-8be990b85ac4,USER62800,4days,2021-10-21
1246,14a2d13c-d96a-4c75-bfcf-814e76780da8,USER52495,7days,2021-10-03
1280,161bb90e-f074-45da-820d-3ad927caca91,USER45820,3days,2021-10-24
1282,bed151c9-a31c-4060-9047-b44b19a6d635,USER10886,9days,2021-11-29
1329,00880f27-ed7c-4729-a587-61ec868c0f3b,USER50466,13days,2021-10-08
1354,90bd1542-b09a-45b1-848d-ef8a7988f851,USER33302,11days,2021-10-23
1361,3e2f896f-9ce3-4244-92c2-3e58d29cb465,USER53494,10days,2021-11-11
1362,63272fba-0a9d-414d-ba98-3afb1bd81e8d,USER32738,12days,2021-11-12
1372,55acc8db-764f-4e53-8001-1633f981e56c,USER01482,8days,2021-11-06
1380,5f5422c7-26ed-4e34-9759-c14fd257c256,USER08946,11days,2021-11-28
1385,cea4f843-64c3-431b-9924-e244944a6d51,USER48115,5days,2021-10-04
1438,a92e94a2-97dc-4605-83b2-d718b1f0214c,USER45136,9days,2021-12-08
1442,e65825cb-e850-421c-b42c-39b6b082442f,USER31066,8days,2021-10-20
1451,0cbb747b-e89b-4c03-a787-c05423377d90,USER08000,11days,2021-11-11
1466,1c1f27aa-23d6-424b-b096-3e6c1f463de0,USER14949,3days,2021-10-21
1487,9eb1a948-0cd9-4147-b6b7-79473f4ed9ed,USER04486,7days,2021-11-17
1547,e60d1479-4fdc-401c-8447-5923387c6ec7,USER11455,8days,2021-11-23
1561,d7114bfb-c25b-4447-99f6-8466828600df,USER58004,8days,2021-11-09
1575,8811d7b9-062d-4ee6-96f8-ab40d18e24ad,USER40568,3days,2021-10-05
1581,8c90ba43-658c-4dca-a7f6-1189e07bf91a,USER44000,15days,2021-11-06
1583,06d0c654-eb42-4c7a-a63a-c4daed82a3b8,USER03364,8days,2021-12-11
1608,cf5addde-1f3a-48b5-a261-68b8490ec87f,USER08607,6days,2021-10-08
1618,78bdf40a-5f1f-401c-b869-38af923dd4c3,USER35736,13days,2021-11-21
1644,7b3d2e20-0115-4643-bd80-7d2ffc42c199,USER47897,13days,2021-12-28
1651,3522fe9b-902b-46b3-bf74-68f2bb496b95,USER11633,15days,2021-12-18
1652,71e7313a-03ff-463c-b5ff-c56158ec7944,USER08400,13days,2021-12-05
1653,949b274d-29b4-49f3-9594-ec54aadd07de,USER11060,11days,2021-10-13
1669,a9daf1de-7e2f-4126-b099-5a833ab14d41,USER51767,12days,2021-11-06
1682,8b0d75c0-00f1-4317-a1c6-398873aca0f5,USER08206,12days,2021-11-22
1707,2df2e3cc-f089-451a-adf6-5e04cc46f6bb,USER35900,10days,2021-11-11
1709,77413414-df21-499e-a021-4e8ea4ceabe6,USER58910,8days,2021-10-18
1717,34f0c50a-0dfa-45eb-8991-fdd44e603ede,USER08212,10days,2021-10-17
1722,6c3ab604-22ce-429d-8e6e-d569321c2a35,USER25373,10days,2021-10-25
1739,997bf572-862f-4776-b77a-3152fcc8dd2b,USER06567,4days,2021-10-17
1751,11b17878-5300-4386-816c-9fe7ac3b70d5,USER01179,5days,2021-11-16
1757,1ec5c0b2-b37d-49b6-a848-4650a49bf906,USER44233,6days,2021-11-03
1802,0fe4067b-d9f7-4ece-aaaa-c70190b33c30,USER54730,14days,2021-11-09
1856,81435902-1778-4e50-9aae-e95141c94397,USER25875,5days,2021-12-31
1866,51823160-3ff0-4c62-9760-40545904bc53,USER14417,10days,2021-11-06
1904,f22c4bff-345e-4ffc-a65f-6bf678402146,USER30380,8days,2021-11-09
1973,71027efb-9c06-4100-944f-9e364826a68f,USER03819,14days,2021-10-23
1982,60410cfa-c2d7-44dd-a601-53c73e44f59c,USER52635,8days,2021-12-19
2016,25a2bbc4-ad84-4730-8375-f0ac38f87754,USER02596,13days,2021-11-05
2019,d4a7a7a6-e577-4d69-9e2c-ea102c124f23,USER09064,9days,2021-11-28
2026,5780e835-e357-4137-bcf5-4ddef0364eda,USER19350,7days,2021-11-04
2033,b630f9d7-831a-4ff8-bf1e-3552fc1b1459,USER56225,11days,2021-10-02
2038,dd154850-f6eb-4585-ac52-f1588c9508bd,USER50529,4days,2021-11-25
2046,3c522fb3-2a81-4a24-80cb-3438795b3e8a,USER37176,7days,2021-11-14
2048,52b04ba5-5250-4c09-841d-eb8772d2848d,USER55642,4days,2021-10-05
2059,4d7e4685-58c1-41a3-aec9-718044ded02a,USER33392,4days,2021-10-03
2068,f394d171-928b-4c92-ab6c-1fa8358b5a20,USER64871,10days,2021-10-10
2071,61a906b0-8eea-4721-a17f-e504e6f62a53,USER23154,14days,2021-11-10
2082,6f0ae4c6-543e-4f4e-8e6c-ced47cfb4eff,USER24127,11days,2021-12-03
2093,d5d2218a-7764-4a45-b234-74e17bb0a4a4,USER21694,6days,2021-12-11
2154,e8ad0ed6-44e9-4da2-837a-9dfcf82e2806,USER45129,8days,2021-10-24
2162,5c0fe485-e7d9-4f90-9d43-8f5edff288cb,USER51858,11days,2021-11-15
2168,4e3beda6-e6c7-4f61-96dd-bcccbf4b48a9,USER52874,10days,2021-11-20
2188,97c9834a-37b4-40e2-a12d-07e490c04b64,USER27991,8days,2021-10-20
2214,4798f2ca-eb63-458d-8d72-f3e07429f41a,USER54139,7days,2021-11-04
2221,c94ee2db-2f61-4600-ac0c-848ca87f7716,USER37731,12days,2021-10-04
2244,3cbcb0cd-bdbf-454a-b256-dae87d883a4d,USER25451,10days,2021-12-20
2259,438dcd17-6a92-45ad-8edb-5ae4df5515b4,USER34920,7days,2021-10-19
2262,fd75201d-2a64-4b39-99cc-bf289908718a,USER15007,10days,2021-10-18
2269,ed9fe531-4191-456c-98e4-b5f7bbf29f06,USER30862,13days,2021-11-03
2297,ca285546-debc-47d0-84bf-84be913ebead,USER47310,13days,2021-11-06
2305,d92e683b-b709-4660-8746-dfabb48221a2,USER29951,7days,2021-11-06
2355,46957865-0158-4649-bca4-87511d625f0a,USER02639,15days,2021-10-27
2356,271903cc-c675-4e00-8379-f00e034850d0,USER15480,10days,2021-12-30
2385,5fe18cf5-b39d-47cc-8a68-390409e97b9e,USER06514,9days,2021-12-01
2388,ffdc881a-256d-44eb-b655-762814d07dc8,USER07776,14days,2021-10-31
2398,5168b273-d157-49fa-be8b-4f80f73afb67,USER62262,3days,2021-11-04
2430,b5fa17de-2ee3-4bef-99c0-033ecd249800,USER51853,11days,2021-10-16
2447,338f296f-e934-415f-851c-291ae9c5353f,USER21270,13days,2021-11-13
2452,089bb2d0-baaf-497f-b8eb-3598da269aed,USER57244,15days,2021-12-03
2457,74bade36-8c1a-445b-b34a-89da36911743,USER03208,5days,2021-11-09
2459,5e0efeaf-e5a3-4df8-8f6a-b317f3a0e4a2,USER13732,14days,2021-12-16
2487,9772ff65-46cb-4d63-b366-ca8848c5c6e3,USER53289,5days,2021-12-20
2489,f58d9472-4d2c-42f8-99c5-bc28a4f1ae98,USER52898,15days,2021-10-06
2497,62f6992a-17e5-4ea2-b03c-aa5a2da9cdc8,USER50949,6days,2021-12-13
2510,7aac0312-8b17-4588-81cf-bfeed0228daf,USER54382,5days,2021-12-29
2512,11a515fd-fbc1-4cc2-ad29-946f2149e00c,USER50280,4days,2021-11-06
2561,4d894a6e-94fc-4626-b46d-6dd47782f4c5,USER09801,8days,2021-12-10
2585,c6adea3d-998e-45d4-83da-15ae3582a2d4,USER13829,7days,2021-11-09
2601,8868d392-3dd4-488b-a686-c8c7d30034e8,USER02873,12days,2021-10-19
2614,55a47db2-fde2-4651-bc21-0b4142eee51b,USER06597,13days,2021-12-16
2623,310c48e6-98c6-48fb-8826-8ac9708b397d,USER62507,5days,2021-12-23
2646,1befd0da-598e-4b88-bd9e-60e00f70d109,USER39876,6days,2021-10-22
2661,c452985b-702b-4952-98c7-532ac4aea148,USER32243,11days,2021-10-15
2672,ce57a07b-e7e1-4654-b82b-45193f31279a,USER37407,13days,2021-11-22
2695,a4864a48-1f8a-4802-a8df-30688ca79c32,USER18220,3days,2021-11-09
2710,3f03de22-a1f3-4720-934c-c69569ed31f5,USER42332,14days,2021-10-30
2729,a4506b4d-78ac-46c6-bb3d-78b5f7e11602,USER54329,12days,2021-12-07
2775,1c0da127-af99-44c2-b892-08f7d133204b,USER43980,10days,2021-10-13
2776,66bd5dce-3438-4c07-8daa-07c00fc166a2,USER58065,14days,2021-11-19
2824,db843592-c27c-492c-a7e2-84d2a2f8461b,USER29433,6days,2021-12-11
2856,a38d27c8-df6e-4621-a709-672c9da10161,USER08029,11days,2021-11-26
2868,a5e663ed-ffa1-4727-9903-2a0e8158d192,USER47360,11days,2021-11-17
2872,1fba6a3b-6ebd-4e9e-bf1a-47d6dda0663b,USER01400,6days,2021-11-04
2888,5c0c9edd-4dd3-4984-a144-b4f3a6605b83,USER59003,10days,2021-10-14
2893,3ed3f493-110c-4768-88d0-5976a15dd346,USER42007,4days,2021-11-29
2897,d10b8ecb-7f44-4f17-93ac-7fef746e18d8,USER39724,11days,2021-11-07
2908,7b08adfc-7e64-44a8-a19d-e4c9055cd675,USER40194,10days,2021-12-03
2940,0af52c85-5ea4-4700-862d-6b943037bdc0,USER46194,9days,2021-10-09
2961,d1c08ebe-0c2d-4146-b4bf-ddad8759b938,USER64435,13days,2021-11-14
2972,42070aed-8a75-494c-a6fa-7743e773a0af,USER51313,6days,2021-12-29
3000,84d3e2d5-a66d-40fc-817d-e61339deb27c,USER48199,14days,2021-10-03
3024,77358ea1-1def-4c11-b514-70d6a746b8b5,USER22849,12days,2021-11-09
3056,dc9620c4-f5b6-49fa-93f1-618133a21916,USER27872,10days,2021-12-10
3067,01ce3bf5-2219-4a56-86a5-c988fe1545bc,USER19350,11days,2021-10-14
3089,b5ad52f7-a85d-4c4b-b07a-946b11a7a439,USER19888,8days,2021-12-22
3107,63ba8d3f-7b0c-4296-a4a9-9d49984953f2,USER47353,4days,2021-12-09
3108,f0662270-2332-451c-804e-6d7a1ba9ecdc,USER10679,9days,2021-10-29
3110,80fb1b85-d45f-4753-bd03-da674a0f6fd7,USER16639,8days,2021-10-24
3128,d5866134-2b58-43ab-a185-429c1394bbe3,USER02282,14days,2021-12-27
3132,a76c83ad-be4a-4005-8f18-cde4e1b2571e,USER47540,3days,2021-12-14
3140,8272ed07-8cde-47de-9501-84635139d723,USER49288,5days,2021-10-14
3164,8d5b0d3a-d4b5-4ad6-b481-5529641d3eb3,USER29809,3days,2021-11-12
3167,9fd89867-3686-40aa-9afd-04f04c01059d,USER31884,11days,2021-12-21
3193,dd037a23-3835-484d-aace-164d9b481477,USER58656,9days,2021-12-12
3195,0377d3ad-373e-4cd6-a28d-ebbf969d2854,USER29154,9days,2021-11-06
3202,f65f72fe-4aa1-4198-b871-c54a0012ba5f,USER62318,11days,2021-11-05
3206,c69e3496-639e-4746-8f79-f6b51cd73f3d,USER21565,7days,2021-11-10
3231,c53de4bb-af8e-46b4-a992-d1dda25e7008,USER18649,8days,2021-11-20
3234,9193fbc4-d214-4b80-870e-35796204ee87,USER14654,10days,2021-12-26
3249,c33a2519-44da-4529-8c19-cda17756482a,USER14398,12days,2021-10-18
3260,47be4611-b711-448a-91ba-866b0be4a660,USER18096,9days,2021-10-26
3268,2ad54413-b762-42e2-b624-ee67c38351c7,USER12373,15days,2021-12-14
3285,f8de63a5-481c-4b53-b4f9-753be4194581,USER25149,6days,2021-10-21
3319,db94f825-1417-4f9d-8d40-be2dfe498fe1,USER27319,8days,2021-10-14
3334,458fc635-7f9c-4c61-b26c-dcfa1d500be7,USER13594,10days,2021-10-29
3337,b094e893-4064-4825-8418-c8176403d97c,USER31226,4days,2021-10-04
3379,f86d86a1-f270-40d9-add5-62049c72c65f,USER15987,9days,2021-11-12
3384,4464f13d-1216-4f4e-ba20-71c9ed7bbdab,USER60672,6days,2021-10-16
3385,0fd5ddc6-5f4e-4e7e-b5a8-59e8973f3b99,USER63961,12days,2021-11-11
3396,a4faf9f3-9512-46b6-92f1-dca9a96c7a3c,USER00346,3days,2021-11-05
3415,b5e5fa45-da13-4108-be89-7ac14801965d,USER07672,4days,2021-11-23
3438,b03834d9-303d-4e99-b1ae-cf05e86892df,USER16684,13days,2021-11-11
3453,72c57a90-a61a-4e18-816c-ca63b4c7b048,USER22850,6days,2021-12-10
3458,89331eb4-ec38-4674-8b56-866542daae78,USER28794,9days,2021-12-10
3462,96d21495-084a-49fd-b0c7-67f22d3c2d0b,USER41380,4days,2021-10-21
3495,69c2f534-0821-4d2b-9e20-3f7505c4e62f,USER63629,12days,2021-12-07
3502,38381e2e-6ee3-450b-823e-8190b2bc96a3,USER47285,5days,2021-12-13
3510,8dce7137-c8b1-456e-8f50-f292f0fbe666,USER30862,10days,2021-12-08
3516,d13c9d23-f98f-4389-96af-dc145a7974c1,USER06505,9days,2021-11-26
3533,fbcd5e70-c000-4136-bf28-d2780e4158a6,USER11956,7days,2021-10-05
3535,84b05bd4-9e17-4577-a17a-946b9930ed54,USER17861,7days,2021-10-11
3542,4b24927c-8510-47d3-92db-c90d039e1622,USER38454,5days,2021-10-19
3579,265b373a-515d-4a2e-a638-8c1e53552ba2,USER12039,6days,2021-12-28
3585,38bff205-47f6-4c51-bdd4-e75839fffad6,USER13056,7days,2021-11-07
3597,ff411c80-948f-49cc-9986-ce54b4b90e92,USER58207,11days,2021-11-10
3648,ad2fc022-790c-4047-9009-9066515861a3,USER48672,14days,2021-11-28
3674,e9604740-520a-4c6f-b57a-d95e27bd1622,USER42854,6days,2021-12-13
3690,1584737c-cd7d-46df-b48f-a7eb631d8475,USER09590,4days,2021-11-07
3712,3e3ca8dc-4b9c-4202-a11a-910b06b927f7,USER08654,4days,2021-11-16
3726,203537d4-4dd5-4e48-b329-87557c828ea4,USER65305,8days,2021-12-01
3753,2f2e6fa9-6cf2-42a2-a052-992b5754b7dc,USER24071,12days,2021-12-31
3756,cb459d01-fde3-4e9c-a6ee-52f73990016e,USER07632,6days,2021-12-26
3770,e8dd9955-273e-404e-997f-284378407984,USER44905,9days,2021-12-18
3785,1a4e5956-5954-40b5-921d-961789aacb11,USER28093,10days,2021-12-25
3800,a8e19f11-1688-4918-b48e-ef23e119bc3b,USER23598,12days,2021-11-02
3827,07e8dc18-34ec-464e-8e72-0cd8a7260539,USER54028,4days,2021-11-09
3830,ec4e41bc-9205-4b03-bd61-8b2a383943b3,USER31091,9days,2021-12-12
3850,49192f2a-5f77-4f3b-a7d3-c3625c0cb45c,USER25149,9days,2021-12-13
3853,3d752291-4edf-4d12-9e77-c6e687f30436,USER18552,10days,2021-10-21
3878,c1e2ed14-8b67-4686-87ed-579fd82e8831,USER04087,14days,2021-10-06
3898,8987828f-151d-4fce-9c55-6c1b8cf5b43a,USER04759,4days,2021-12-02
3910,46cecfe3-a6a8-44cb-9ccb-99f1a2f3cf27,USER07177,14days,2021-11-23
3978,70e32758-fe56-456e-8736-e30c97b5a74c,USER53071,11days,2021-10-22
3990,5271cb38-0a83-465f-9ea2-81cdb6712165,USER01076,3days,2021-12-01
4024,1852013d-8811-4438-9469-c7284dc63773,USER05673,9days,2021-12-29
4037,dbe6714b-dcba-4213-8d9d-014c05b4f2b1,USER12238,12days,2021-12-09
4048,c22f8930-ce6a-42a7-9f81-f48e7f81ddb3,USER26869,9days,2021-12-09
4051,2124dcee-5e2c-4ec1-b26e-cba9b6612d58,USER24439,3days,2021-10-30
4093,218fa45f-bb0c-4c99-9f2b-4e0fd39bfc37,USER58004,12days,2021-12-02
4104,ca2e5126-812c-4ec9-a47c-5f14862275eb,USER19831,13days,2021-12-30
4113,3855aff1-7dbc-4828-b62c-af182f34104d,USER55264,6days,2021-12-08
4122,2c8611e5-5b83-4127-889a-536c97ab130d,USER00703,11days,2021-11-09
4153,6fd724a9-60ab-4445-a2ed-fbc9094c3b35,USER39693,11days,2021-11-09
4163,7380772b-cfa0-4f0d-ac2c-b8df23820f63,USER53917,15days,2021-12-18
4178,f84280cd-98c7-4078-9554-f335c07e4337,USER11882,7days,2021-11-10
4181,4d7c9e4b-ae7f-4321-b6c7-76965305b1cd,USER03366,13days,2021-11-25
4194,b26c057b-2a15-43d3-9ea4-b225778491d2,USER19684,12days,2021-12-24
4217,2e6c4fdb-38a1-4b28-98a5-310567c21db0,USER57288,15days,2021-10-10
4223,df88cc71-2a52-478a-b585-d5315c453d06,USER25446,15days,2021-11-30
4237,76ef4c11-1b66-44fc-a33a-624f9c4cc70a,USER38901,7days,2021-10-07
4250,023e0830-9d64-431c-8f04-18a1ec35a745,USER41137,14days,2021-12-22
4284,91c93280-1542-47d7-a740-478ff651decd,USER51634,8days,2021-10-20
4329,74f7ed04-13c6-4175-a804-3b993eef1a2c,USER59294,13days,2021-10-20
4334,65ed8cb4-5525-4ff6-8140-ec7b14b5873b,USER08977,4days,2021-12-10
4364,835387d4-9f37-4bf7-bc17-378a8103a85c,USER18577,8days,2021-10-28
4372,7805da69-cef4-4f28-bb3d-9c224d087704,USER20022,13days,2021-10-27
4373,f95ea31b-d85d-4684-8a5f-6687b0cdfa53,USER16432,12days,2021-12-10
4406,4935610a-be4b-4b23-ba4b-780a27d66591,USER25795,13days,2021-12-05
4407,69bfda68-6ac4-4f52-92a4-3c05315d1d58,USER10475,5days,2021-10-11
4428,f07272ab-07a8-4c06-a35f-de5be246ac5a,USER50680,3days,2021-11-16
4437,7a523772-ce7a-4571-9a02-de76e8b892e3,USER34932,10days,2021-12-18
4450,4874672f-3e1f-4f15-9481-39c91bb905b9,USER64541,4days,2021-11-11
4466,18fed7fb-9556-4569-a835-9df4e2722052,USER42305,6days,2021-12-23
4507,ad7e0bc7-c997-4b43-ae87-db9e254df84f,USER37199,4days,2021-11-13
4512,b8040c9c-84b9-4a84-bd04-81fcbd1e51d8,USER50448,4days,2021-10-07
4533,1c79aedd-33e1-4e4f-ad0c-86b6236e7099,USER48731,8days,2021-11-16
4548,361c03dc-433c-4729-a60f-30b834256936,USER50483,3days,2021-12-05
4565,a901e09b-2b1a-4ceb-98bd-727dd2b4cdc9,USER18492,8days,2021-10-14
4573,fa1b905b-0c10-4b63-bfc8-f588b88538ad,USER02886,12days,2021-11-27
4575,46b232e6-c5ac-4fa1-b49c-c6a351a29679,USER27644,3days,2021-12-05
4583,cde1e8f7-c0a1-40f1-bc31-1ae4e6cab24f,USER01188,10days,2021-12-27
4593,5f1222fa-7d12-4d80-af4d-e631dca03550,USER04328,6days,2021-12-29
4625,39288880-69ca-4a50-ab92-48ef383fe2c2,USER31933,15days,2021-12-17
4628,5ccdbd53-6b2c-49df-9f43-213039458ae2,USER62305,14days,2021-12-27
4629,d2edae63-e933-45ec-a944-9e6b630dbb05,USER21739,5days,2021-11-19
4641,0ed24424-19e4-43b7-9c5d-cbf6c66096f9,USER21035,4days,2021-10-28
4659,71167806-e8e8-4c26-9175-1e9153d2919f,USER25039,15days,2021-10-25
4676,6beb60c0-6f89-403d-a12d-d81d0dd3b836,USER23878,4days,2021-11-24
4690,a47b824f-c09e-4774-9ed4-f9fe37be8045,USER59564,6days,2021-11-19
4704,57a1f352-4c0d-437a-aa53-cbfaa4fa7340,USER34590,5days,2021-12-06
4711,b9ad6f93-a534-417b-8ccb-cc66c3096ee3,USER20293,11days,2021-10-11
4716,42a687b4-7fe7-4894-8a1e-e9babad16b21,USER09011,6days,2021-12-23
4719,39965348-1908-4e56-ab5e-7360eafd33af,USER20227,8days,2021-10-03
4725,72ff0adf-0d39-4652-aa09-d92d8788b887,USER16444,7days,2021-12-23
4731,49157bef-04dd-4d06-b355-c74946a80a31,USER60665,12days,2021-10-31
4763,c93e128c-3281-4ace-bcbe-06ee3f05dd43,USER36333,5days,2021-11-29
4791,f43b3e49-3fdc-4462-b028-038b2c3d2480,USER07322,5days,2021-10-01
4803,ba6f40b8-a0c1-4127-b8c4-5d0d3458c129,USER18312,14days,2021-10-24
4810,c9c05ed5-c87b-435e-84c9-b5cf98b78c5b,USER37582,5days,2021-10-15
4827,990fcb93-0bc4-4675-ba58-32dc55fb6c66,USER44841,7days,2021-12-09
4842,df20a859-6524-4c63-8278-b852e662b4d1,USER11350,5days,2021-11-24
4865,c19848ff-cbb9-42d7-82a6-2cfb7add4424,USER13732,8days,2021-10-03
4867,52db8c61-f0fd-4cb3-b281-33749fec1c71,USER62924,5days,2021-10-02
4878,844a4dc7-efa3-4834-9086-f741b21b6430,USER42149,3days,2021-10-23
